Item,Product_number,Multiplier_per_box,Recommended_qty_per_order,price
Peds J Wire ,118013,1,1,13
Amplatz Superstiff .038X180Cm,2198,1,1,175
Amplatz Superstiff .038X145Cm,26285,1,1,175
Amplatz Superstiff .038X75Cm,63206,1,1,175
1Liter Evac Bottle ,22992,1,1,10
Drain Bulb W/Tubing ,117413,1,1,123
Drain Connection,206088,1,1,2
16Fr Foley,20742,1,1,20
18Fr Foley,20741,1,1,14
U/S Paracentesis Tray,160935,1,1,466
Para Kits 5/ Box,95541,1,1,270
5Fr Para Cath Needles,63907,1,1,87
Para Spikes ,85920,1,1,65
Spikes Para Bottles,206088,1,1,1.8
Para Bottles 500Ml ,22991,1,1,10
Pleura Vac ,21148,1,1,61
Lung Plug Tract Sealant,204489,1,1,1654
Franseen 9cm X 18G,213801,1,1,80
Franseen 15cm X 18G,213802,1,1,80
Franseen 20cm X 18G,213803,1,1,80
Franseen 15cm X 20G,213804,1,1,80
Franseen 20cm X 20G,252038,1,1,80
Franseen 15cm X 22G,213805,1,1,80
Probe Covers U/S,150059,1,1,57
Prevalon Mat With Hoyer Handle 600Lbs,"	238726","	1","	1","	220"
Prevalon Mat 550Lbs,"	214976","	1","	1","	828"
Prevalon Mat  1000Lbs,"	237970","	1","	1","	792"
Prevalon Mat Refurbished,"	237971","	1","	1","	575"
1 Inch Silktape,252538,100,100,0.216
3 Ml Syringe,1594,1,1,13.25
Sterile Gauze In Tray,20526,1,1,0.4
Adult Bp Cuff,180530,1,1,30
Small Bp Cuff,60407,1,1.5,1
Plastic Medicine Cups,1215,1,1,2
Ulnar nerve pink elbow pillow, 14389,1,1,2
Clipper Blade,20545,1,1,2 
o2 connector christmas tree,2776,1,1,0.10
grey bin basin,199,1,1,0.50












